Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
40,0.3783,-0.1867,-7.5226,-0.0237,-0.0163,-0.0045
41,0.3747,-0.1999,-7.5298,-0.023,-0.0152,-0.0049
42,0.3663,-0.1999,-7.5286,-0.024,-0.0156,-0.0057
43,0.3867,-0.1975,-7.5034,-0.0236,-0.0164,-0.0049
44,0.3555,-0.1951,-7.4974,-0.0238,-0.016,-0.0049
45,0.3747,-0.1915,-7.5178,-0.0236,-0.0157,-0.0051
46,0.3699,-0.1999,-7.5334,-0.0245,-0.016,-0.0044
47,0.3879,-0.2143,-7.5142,-0.0256,-0.0152,-0.0049
48,0.3663,-0.2107,-7.5058,-0.0245,-0.016,-0.0047
49,0.3567,-0.1927,-7.5202,-0.0242,-0.0163,-0.0052
50,0.3472,-0.1903,-7.5334,-0.0234,-0.0163,-0.0048
51,0.3591,-0.1796,-7.5034,-0.0241,-0.0157,-0.0044
52,0.3651,-0.1999,-7.5034,-0.0234,-0.0149,-0.0052
53,0.3926,-0.2059,-7.4879,-0.0241,-0.0161,-0.0048
54,0.3699,-0.1963,-7.5046,-0.0244,-0.0157,-0.0048
55,0.3711,-0.1796,-7.501,-0.0244,-0.016,-0.0051
56,0.3699,-0.2071,-7.5166,-0.0244,-0.0153,-0.0044
57,0.3651,-0.1999,-7.5034,-0.0241,-0.0152,-0.0053
58,0.3615,-0.1832,-7.4903,-0.024,-0.0156,-0.0049
59,0.3735,-0.1903,-7.4843,-0.0241,-0.0163,-0.0047
60,0.3711,-0.1915,-7.5118,-0.0242,-0.0156,-0.0052
61,0.3843,-0.2023,-7.4843,-0.0256,-0.0161,-0.0041
62,0.3783,-0.1891,-7.4927,-0.0245,-0.0153,-0.0051
63,0.3675,-0.1856,-7.4831,-0.0238,-0.016,-0.0045
64,0.3627,-0.2011,-7.5166,-0.0242,-0.0151,-0.004
65,0.3711,-0.2107,-7.4962,-0.0242,-0.0156,-0.0051
66,0.3687,-0.1987,-7.4627,-0.0241,-0.0151,-0.0048
67,0.3962,-0.1891,-7.4855,-0.0238,-0.0161,-0.0047
68,0.3651,-0.1915,-7.5118,-0.0249,-0.0156,-0.0051
69,0.3567,-0.2011,-7.5226,-0.0246,-0.0165,-0.0052
70,0.3651,-0.1975,-7.5094,-0.0236,-0.0156,-0.0049
71,0.3711,-0.2047,-7.5226,-0.0245,-0.016,-0.0043
72,0.3711,-0.1856,-7.4974,-0.0241,-0.0159,-0.0047
73,0.3651,-0.2059,-7.5082,-0.024,-0.0156,-0.0048
74,0.3795,-0.1784,-7.5214,-0.0236,-0.0152,-0.0052
75,0.3675,-0.1963,-7.4927,-0.0237,-0.0152,-0.0051
76,0.3699,-0.1927,-7.5417,-0.024,-0.0157,-0.0045
77,0.3783,-0.1999,-7.5202,-0.0245,-0.0159,-0.0052
78,0.3663,-0.1927,-7.5094,-0.0246,-0.0157,-0.0049
79,0.3603,-0.1856,-7.5058,-0.0238,-0.0151,-0.0053
80,0.3472,-0.2119,-7.5142,-0.0229,-0.0167,-0.0045
81,0.3639,-0.1891,-7.4986,-0.024,-0.0169,-0.0051
82,0.3711,-0.1903,-7.5154,-0.0238,-0.0155,-0.0045
83,0.3819,-0.1987,-7.5154,-0.0246,-0.0149,-0.0047
84,0.3675,-0.1975,-7.4974,-0.0246,-0.0155,-0.0056
85,0.3675,-0.1951,-7.4998,-0.0238,-0.0151,-0.0052
86,0.3627,-0.1856,-7.5034,-0.0244,-0.0159,-0.0057
87,0.3699,-0.1975,-7.5202,-0.0238,-0.0161,-0.0052
88,0.3687,-0.1999,-7.5082,-0.0241,-0.0151,-0.0051
89,0.3579,-0.2167,-7.525,-0.0234,-0.0145,-0.0048
90,0.3531,-0.1987,-7.519,-0.0244,-0.0157,-0.0052
91,0.3735,-0.2059,-7.5357,-0.024,-0.0156,-0.0051
92,0.3747,-0.182,-7.4903,-0.0234,-0.0152,-0.0055
93,0.3651,-0.1951,-7.501,-0.0242,-0.0156,-0.0055
94,0.3687,-0.1999,-7.4915,-0.0237,-0.0167,-0.0047
95,0.3699,-0.1999,-7.4962,-0.0238,-0.016,-0.0049
96,0.3807,-0.1963,-7.4807,-0.0245,-0.0159,-0.0045
97,0.3699,-0.1915,-7.5118,-0.0237,-0.0157,-0.0056
98,0.3579,-0.2155,-7.501,-0.0244,-0.0159,-0.0063
99,0.3807,-0.1927,-7.5274,-0.0244,-0.0159,-0.0048
100,0.3519,-0.1903,-7.5058,-0.0237,-0.0152,-0.0051
101,0.3639,-0.1963,-7.5178,-0.0246,-0.0157,-0.0055
102,0.3843,-0.1987,-7.5262,-0.0238,-0.0156,-0.0051
103,0.3795,-0.2191,-7.4927,-0.0252,-0.0168,-0.0057
104,0.3675,-0.182,-7.5286,-0.024,-0.0151,-0.0049
105,0.3591,-0.1736,-7.5094,-0.0242,-0.016,-0.0052
106,0.34,-0.1951,-7.5226,-0.0249,-0.0156,-0.0051
107,0.3831,-0.1867,-7.5477,-0.0248,-0.0163,-0.0049
108,0.3519,-0.1724,-7.4939,-0.0245,-0.0156,-0.0048
109,0.3723,-0.1999,-7.5286,-0.0242,-0.0157,-0.0051
110,0.3711,-0.1939,-7.4807,-0.0234,-0.0157,-0.0049
111,0.3627,-0.2095,-7.5022,-0.024,-0.0155,-0.0048
112,0.3819,-0.1927,-7.5214,-0.0237,-0.0161,-0.0048
113,0.3747,-0.1939,-7.5094,-0.0238,-0.0151,-0.0049
114,0.3603,-0.1987,-7.5058,-0.0241,-0.0164,-0.0052
115,0.3723,-0.1879,-7.525,-0.0238,-0.0156,-0.006
116,0.3723,-0.1999,-7.519,-0.0242,-0.016,-0.0049
117,0.3591,-0.2059,-7.495,-0.0245,-0.0148,-0.0051
118,0.3687,-0.1927,-7.4687,-0.024,-0.0157,-0.0047
119,0.3519,-0.1891,-7.5022,-0.0241,-0.016,-0.0048
120,0.3496,-0.1856,-7.507,-0.024,-0.0163,-0.0056
121,0.3843,-0.1915,-7.5393,-0.0237,-0.0157,-0.0056
122,0.3687,-0.1891,-7.5106,-0.0238,-0.0152,-0.0048
123,0.3615,-0.2059,-7.5274,-0.0244,-0.0152,-0.0055
124,0.3651,-0.2071,-7.5286,-0.0244,-0.0149,-0.0048
125,0.3735,-0.1903,-7.4939,-0.0241,-0.0152,-0.0048
126,0.3555,-0.1987,-7.501,-0.0228,-0.0155,-0.0045
127,0.3496,-0.1903,-7.5022,-0.0232,-0.0156,-0.0052
128,0.3687,-0.1903,-7.5094,-0.024,-0.0153,-0.0051
129,0.3723,-0.1951,-7.5058,-0.0241,-0.0161,-0.0055
130,0.3747,-0.1915,-7.5334,-0.0246,-0.0156,-0.0047
131,0.3795,-0.2059,-7.519,-0.024,-0.0152,-0.0045
132,0.3723,-0.1903,-7.5226,-0.0242,-0.0161,-0.0049
133,0.3747,-0.1927,-7.4723,-0.0238,-0.0157,-0.0049
134,0.3687,-0.1975,-7.5286,-0.0236,-0.0161,-0.0044
135,0.3675,-0.2023,-7.5142,-0.0245,-0.0159,-0.0048
136,0.3843,-0.2143,-7.5166,-0.0244,-0.0159,-0.0048
137,0.3759,-0.1844,-7.5106,-0.0238,-0.0145,-0.0052
138,0.3759,-0.1951,-7.5286,-0.0237,-0.0153,-0.0056
139,0.3627,-0.1915,-7.5226,-0.024,-0.0149,-0.0045
140,0.3531,-0.1856,-7.5154,-0.0238,-0.0161,-0.0057
141,0.3711,-0.1808,-7.507,-0.0252,-0.0161,-0.0055
142,0.3711,-0.1987,-7.5393,-0.0236,-0.0164,-0.0056
143,0.3543,-0.1903,-7.4879,-0.025,-0.0156,-0.0049
144,0.3567,-0.1867,-7.5214,-0.0242,-0.0157,-0.0047
145,0.3627,-0.1856,-7.4783,-0.0238,-0.0163,-0.0057
146,0.3891,-0.182,-7.5346,-0.0241,-0.0156,-0.0053
147,0.3771,-0.2023,-7.507,-0.0246,-0.016,-0.0048
148,0.3663,-0.2011,-7.507,-0.0241,-0.0153,-0.0051
149,0.3651,-0.1879,-7.5142,-0.0244,-0.0159,-0.0049
150,0.3651,-0.2143,-7.525,-0.0244,-0.0163,-0.0041
151,0.3603,-0.2023,-7.519,-0.0233,-0.0157,-0.0048
152,0.3831,-0.1808,-7.5034,-0.0248,-0.016,-0.0057
153,0.3687,-0.2023,-7.4903,-0.0238,-0.0153,-0.0056
154,0.3627,-0.1963,-7.4986,-0.0238,-0.0155,-0.0047
155,0.3807,-0.2059,-7.507,-0.024,-0.0156,-0.0049
156,0.3723,-0.1927,-7.5274,-0.0237,-0.0167,-0.0049
157,0.3615,-0.1927,-7.5238,-0.0244,-0.0161,-0.0039
158,0.3579,-0.1987,-7.4891,-0.0249,-0.0156,-0.0048
159,0.3675,-0.1879,-7.4962,-0.0246,-0.0159,-0.0056
160,0.3639,-0.1963,-7.5286,-0.0241,-0.0159,-0.0051
161,0.3687,-0.1975,-7.4867,-0.0242,-0.0159,-0.0055
162,0.3627,-0.2179,-7.5238,-0.0242,-0.0152,-0.0047
163,0.3615,-0.1951,-7.5106,-0.0246,-0.016,-0.0037
164,0.3831,-0.1867,-7.5178,-0.0242,-0.0159,-0.0045
165,0.3531,-0.1951,-7.495,-0.0241,-0.0153,-0.0049
166,0.3723,-0.1772,-7.4867,-0.0256,-0.0164,-0.004
167,0.3759,-0.1939,-7.5106,-0.0246,-0.0157,-0.0051
168,0.3747,-0.2011,-7.519,-0.0236,-0.0151,-0.0049
169,0.3519,-0.1867,-7.5298,-0.0238,-0.0155,-0.0048
170,0.3759,-0.1688,-7.4915,-0.0241,-0.0159,-0.0044
171,0.3879,-0.1951,-7.5034,-0.0246,-0.0148,-0.0049
172,0.3615,-0.2059,-7.5238,-0.025,-0.0156,-0.0051
173,0.3759,-0.2095,-7.5142,-0.024,-0.0157,-0.0051
174,0.3687,-0.2011,-7.513,-0.0242,-0.0163,-0.0047
175,0.3831,-0.1867,-7.5166,-0.0244,-0.0155,-0.0051
176,0.3675,-0.1999,-7.4927,-0.0237,-0.0151,-0.0052
177,0.3567,-0.2047,-7.5298,-0.0238,-0.0155,-0.0052
178,0.3771,-0.2119,-7.5286,-0.0238,-0.0155,-0.0051
179,0.3615,-0.1915,-7.4986,-0.0244,-0.016,-0.0055
180,0.3879,-0.1879,-7.5082,-0.0244,-0.0164,-0.0047
181,0.3735,-0.1951,-7.5094,-0.0244,-0.0157,-0.0044
182,0.3567,-0.2155,-7.4867,-0.0238,-0.0161,-0.0048
183,0.3843,-0.2035,-7.5274,-0.0244,-0.0171,-0.0045
184,0.3783,-0.1987,-7.5166,-0.0245,-0.0157,-0.0052
185,0.3747,-0.176,-7.5118,-0.0246,-0.0155,-0.0055
186,0.3687,-0.1844,-7.5238,-0.0237,-0.0156,-0.0049
187,0.3675,-0.1867,-7.4783,-0.0237,-0.016,-0.0052
188,0.3747,-0.2023,-7.5226,-0.0249,-0.0157,-0.0057
189,0.3723,-0.1999,-7.5034,-0.0237,-0.0161,-0.0053
190,0.3723,-0.182,-7.5238,-0.0238,-0.0153,-0.0047
191,0.3699,-0.2071,-7.5154,-0.0237,-0.0164,-0.0051
192,0.3783,-0.1796,-7.5166,-0.0242,-0.0152,-0.0055
193,0.3759,-0.1891,-7.5226,-0.0238,-0.0157,-0.0052
194,0.3615,-0.2059,-7.5058,-0.0238,-0.0153,-0.0052
195,0.3627,-0.2203,-7.4879,-0.0234,-0.0163,-0.0051
196,0.3651,-0.2059,-7.5178,-0.0242,-0.0153,-0.0045
197,0.3807,-0.1939,-7.5346,-0.0229,-0.016,-0.0048
198,0.395,-0.2071,-7.5238,-0.0244,-0.0148,-0.0049
199,0.3771,-0.1891,-7.5226,-0.0237,-0.0152,-0.0051
200,0.3759,-0.2011,-7.5082,-0.0244,-0.0155,-0.0047
201,0.3759,-0.1939,-7.4974,-0.0244,-0.0145,-0.0049
202,0.3759,-0.1915,-7.5094,-0.0241,-0.0147,-0.0051
203,0.3543,-0.2011,-7.4962,-0.0249,-0.0151,-0.0051
204,0.3711,-0.1736,-7.4783,-0.025,-0.0159,-0.0044
205,0.3675,-0.1975,-7.5262,-0.0244,-0.0156,-0.0047
206,0.3807,-0.2059,-7.507,-0.0237,-0.0155,-0.0052
207,0.3711,-0.1915,-7.4998,-0.0234,-0.0164,-0.0044
208,0.3819,-0.2083,-7.5166,-0.0245,-0.0157,-0.0055
209,0.3651,-0.2047,-7.5262,-0.0241,-0.0167,-0.0052
210,0.3795,-0.1903,-7.5034,-0.0242,-0.0157,-0.0047
211,0.3567,-0.2035,-7.519,-0.0238,-0.0155,-0.0047
212,0.3591,-0.1748,-7.5274,-0.0236,-0.0167,-0.0048
213,0.3627,-0.1867,-7.5106,-0.0248,-0.0155,-0.0043
214,0.3699,-0.1867,-7.4998,-0.0246,-0.0148,-0.0047
215,0.3687,-0.1879,-7.4915,-0.0241,-0.0157,-0.0045
216,0.3555,-0.2059,-7.4855,-0.0238,-0.0155,-0.0051
217,0.3867,-0.1939,-7.501,-0.0236,-0.0155,-0.0047
218,0.3711,-0.2083,-7.525,-0.024,-0.0153,-0.0057
219,0.3508,-0.182,-7.5238,-0.0241,-0.016,-0.0049
220,0.3639,-0.2191,-7.4974,-0.0238,-0.0151,-0.0052
221,0.3759,-0.1808,-7.5226,-0.0245,-0.0145,-0.0043
222,0.3591,-0.2131,-7.5142,-0.0236,-0.0155,-0.0053
223,0.3448,-0.182,-7.5286,-0.0249,-0.0163,-0.0048
224,0.3747,-0.1891,-7.5082,-0.0244,-0.0153,-0.0044
225,0.3591,-0.2047,-7.5286,-0.0237,-0.0151,-0.0061
226,0.3579,-0.2011,-7.5094,-0.024,-0.0155,-0.0047
227,0.3699,-0.1867,-7.5082,-0.0244,-0.0156,-0.0057
228,0.3783,-0.2011,-7.4998,-0.024,-0.0159,-0.0049
229,0.3783,-0.1975,-7.4783,-0.0238,-0.0156,-0.0051
230,0.3591,-0.1796,-7.5166,-0.023,-0.0159,-0.0048
231,0.3519,-0.1999,-7.4986,-0.024,-0.0163,-0.0053
232,0.3783,-0.1903,-7.501,-0.0238,-0.0157,-0.0041
233,0.3711,-0.1844,-7.5082,-0.0238,-0.0156,-0.0049
234,0.3771,-0.182,-7.495,-0.0232,-0.0155,-0.0044
235,0.3543,-0.1844,-7.4974,-0.0241,-0.0155,-0.0049
236,0.3891,-0.1867,-7.5202,-0.0248,-0.0159,-0.0048
237,0.3735,-0.1856,-7.531,-0.0241,-0.0156,-0.0052
238,0.3771,-0.1915,-7.4986,-0.0241,-0.0156,-0.0049
239,0.3627,-0.1879,-7.5166,-0.0236,-0.0159,-0.0048
240,0.3759,-0.1999,-7.5094,-0.0232,-0.016,-0.0053
241,0.3591,-0.182,-7.4879,-0.0232,-0.0152,-0.0047
242,0.3663,-0.1939,-7.5106,-0.0238,-0.0152,-0.0052
243,0.3675,-0.1784,-7.5178,-0.024,-0.0159,-0.0043
244,0.3615,-0.1796,-7.513,-0.0238,-0.0161,-0.0048
245,0.3735,-0.1879,-7.519,-0.0244,-0.0155,-0.0053
246,0.3699,-0.1867,-7.4855,-0.0249,-0.0152,-0.0049
247,0.3555,-0.1867,-7.5274,-0.0246,-0.0155,-0.0051
248,0.3747,-0.1987,-7.5262,-0.0242,-0.0157,-0.0051
249,0.3783,-0.1796,-7.513,-0.024,-0.0151,-0.0049
250,0.3974,-0.182,-7.5357,-0.0238,-0.0151,-0.0053
251,0.3711,-0.2179,-7.507,-0.024,-0.0153,-0.0055
252,0.3675,-0.1927,-7.4927,-0.0244,-0.0155,-0.0049
253,0.3651,-0.1903,-7.5094,-0.0245,-0.0149,-0.0051
254,0.3867,-0.2047,-7.5106,-0.0242,-0.016,-0.0051
255,0.3675,-0.1939,-7.5046,-0.0246,-0.0155,-0.0056
256,0.3543,-0.1844,-7.4843,-0.024,-0.0155,-0.0047
257,0.3519,-0.1856,-7.4998,-0.0244,-0.0153,-0.0048
258,0.3555,-0.2071,-7.5094,-0.024,-0.0148,-0.0048
259,0.3795,-0.2011,-7.5154,-0.0242,-0.0156,-0.0057
260,0.3867,-0.1951,-7.4927,-0.0249,-0.0153,-0.0043
261,0.3591,-0.1927,-7.501,-0.0241,-0.0159,-0.0048
262,0.3807,-0.1939,-7.4962,-0.0244,-0.0157,-0.0049
263,0.3663,-0.1951,-7.5154,-0.0248,-0.0145,-0.0051
264,0.3926,-0.1951,-7.5393,-0.0238,-0.0152,-0.0053
265,0.3603,-0.2059,-7.4974,-0.024,-0.0159,-0.0055
266,0.3759,-0.1939,-7.4998,-0.0241,-0.0157,-0.0045
267,0.3879,-0.1915,-7.4998,-0.0241,-0.0161,-0.0045
268,0.3915,-0.2011,-7.4855,-0.0238,-0.0157,-0.0052
269,0.3807,-0.1963,-7.5238,-0.0252,-0.0155,-0.0048
270,0.3747,-0.2095,-7.5226,-0.024,-0.0151,-0.0044
271,0.3771,-0.182,-7.4915,-0.024,-0.0156,-0.0048
272,0.3675,-0.1951,-7.5178,-0.0246,-0.0153,-0.0048
273,0.346,-0.1999,-7.5022,-0.0244,-0.0156,-0.0048
274,0.3651,-0.1808,-7.5046,-0.0244,-0.0153,-0.0045
275,0.3663,-0.1951,-7.5082,-0.0244,-0.0159,-0.0059
276,0.3735,-0.1784,-7.525,-0.0238,-0.0156,-0.0053
277,0.3855,-0.1856,-7.5094,-0.0246,-0.0161,-0.0055
278,0.3771,-0.1927,-7.4903,-0.0248,-0.0161,-0.0052
279,0.3567,-0.1891,-7.4915,-0.0233,-0.0157,-0.0041
280,0.3759,-0.1975,-7.4807,-0.0233,-0.0157,-0.0053
281,0.3807,-0.1963,-7.4939,-0.0238,-0.0159,-0.0051
282,0.3519,-0.1963,-7.4962,-0.0245,-0.0159,-0.0053
283,0.3591,-0.2155,-7.5022,-0.0249,-0.0155,-0.0048
284,0.3747,-0.1963,-7.5226,-0.0242,-0.0165,-0.0049
285,0.3591,-0.1891,-7.5118,-0.0237,-0.0149,-0.0052
286,0.3496,-0.1736,-7.4807,-0.0244,-0.0156,-0.0045
287,0.3819,-0.2047,-7.5238,-0.0237,-0.0149,-0.0048
288,0.3591,-0.2035,-7.4998,-0.0249,-0.0153,-0.006
289,0.3747,-0.2011,-7.5046,-0.0249,-0.0161,-0.0055
290,0.3759,-0.2119,-7.5202,-0.0248,-0.0157,-0.0043
291,0.3735,-0.2047,-7.513,-0.0246,-0.0167,-0.0053
292,0.3711,-0.1832,-7.5154,-0.0245,-0.0159,-0.0061
293,0.3783,-0.1903,-7.5022,-0.0248,-0.0155,-0.0052
294,0.3591,-0.1748,-7.5154,-0.0241,-0.016,-0.0047
295,0.3531,-0.2107,-7.4974,-0.0242,-0.0157,-0.0055
296,0.3615,-0.2011,-7.501,-0.0241,-0.0155,-0.0047
297,0.3591,-0.2023,-7.507,-0.025,-0.016,-0.0045
298,0.3759,-0.2023,-7.5082,-0.0242,-0.0165,-0.0039
299,0.3831,-0.1844,-7.519,-0.0245,-0.0163,-0.0
300,0.3819,-0.1832,-7.5094,-0.0244,-0.0161,-0.0051
301,0.3807,-0.1915,-7.501,-0.0237,-0.0171,-0.0049
302,0.3723,-0.1784,-7.5322,-0.0242,-0.0155,-0.0049
